,Company,Company Description,Date Victimised,No of views,Comment
37,Kevills Solicitors,"We take pride in offering a friendly, personal advice service based on firm values and an ethical approach, while keeping our finger on the pulse in our dedicated areas of specialism. A partner-led firm, we are personally involved in every step of each individual case, representing families, businesses and individuals alike.
With much of our work arising from personal recommendation, we can clearly demonstrate the provision of a value for money service, and maintain a high profile within the Chorley community and beyond.

http://www.kevills.co.uk/", 31.08.2023, 33907,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of clients,Other,  https://gofile.io/d/QA2jWW"
38,Mil-Ken Travel,"Taking you beyond expectation Mil-Ken Travel are a Coach Hire and executive travel specialist based near Ely, Cambridgeshire. We are family run company with over 50 years of industry experience traveling throughout the UK and Europe serving customers with an exceptional level of professional service.

https://milkentravel.com/", 31.08.2023, 32977,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other"
39,Royal Oak Pet Clinic,"Providing Medical and Surgical care for Dogs, Cats, Chinchillas, Degus, Ferrets, Gerbils, Guinea Pigs, Hamsters, Hedgehogs, Mice, Rabbits and Rats, Visit our New Patients Center or take the Virtual Tour Page. A+ Rated Business – Better Business Bureau. Reviews on Google and Facebook. Stop by, or call us if you have any questions. Our Veterinarians and experienced staff are here to help. The Royal Oak Pet Clinic is a small animal pet clinic in Victoria BC focusing on the health of dogs, cats, rabbits, ferrets, and pocket pets. Clinic veterinarians provide medical and surgical care for all of your four legged pets. Our goal is to keep the pet members of your family healthy and happy while providing exceptional service to clients. Commitment to excellence and the exemplary care that veterinarians Dr. Chambers, Dr. Harasym and the staff offer, is practiced each day on every pet they examine.

https://www.royaloakpetclinic.com/", 31.08.2023, 32994,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,  https://gofile.io/d/xTiFDj"
40,Hoosick Falls Central School District,"For the 2023 school year, there are 2 public schools serving 1,055 students in Hoosick Falls Central School District. This district's average testing ranking is 9/10, which is in the top 20% of public schools in New York.
Public Schools in Hoosick Falls Central School District have an average math proficiency score of 77% (versus the New York public school average of 56%), and reading proficiency score of 76% (versus the 63% statewide average).

https://www.hoosickfallscsd.org/", 31.08.2023, 32982,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,SQL Base -,A huge amount of confidential information,Confidentiality agreements,Personal files of clients,Other,  https://gofile.io/d/fdC2O4"
41,ToyotaLift Northeast,"Offering forklifts, aerial work platforms, lift trucks, & material handling equipment by Toyota industrial equipment, Raymond, Skyjack, Genie, JLG, Clark. ToyotaLift Northeast is the best place to find high-quality new and used lift trucks. We are a full service material handling equipment dealership at all seven of our locations (PA, NJ, DE, MD and NY) offering forklift sales, service, parts, rental, OSHA forklift training and safety education. Our goal is to provide services that matches the high quality standards of the Toyota forklift products; services that will be unmatched in the greater Philadelphia, New Jersey, New York, Delaware and Maryland areas

www.toyotaliftne.com", 23.08.2023, 39581,"ime, but the company decided to stop communicating,On our servers were downloaded: (02.2023),Personal information of the company's clients,Personal correspondence,Financial statements,Documents containing confidential information,,https://files.dp.ua/ru/v35AHDVL"
42,Aspect Structural Engineers,"Creativity I Excellence I Pragmatism. We are problem solvers and purveyors of thoughtful design for structures big and small. Aspect provides state-of-the-art structural engineering service with the personalized attention that comes from being a small, young firm. We aim to innovate, while always staying mindful of project schedules and budgets. Prefabrication & modular construction are important tools in helping to achieve these objectives. We are experienced with the constraints involved, and know first hand of the design intricacies, and advantages, these types of systems can represent. We also believe that when appropriate, structure = architecture. A holistic approach to building design can gain efficiencies on all fronts, creating structure that doubles as ductwork, structure that conceals sprinkler pipes and structure that is meant to be seen

https://aspectengineers.com/", 22.08.2023, 40112,"ce,Receipts,Accounting documents,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of employees\clients,Personal documentation,Correspondence,Data about employees\partners,Internal documents,  https://gofile.io/d/pzvo2A"
43,ANS,"At ANS, we believe that all organisations have the right to access the best technology, whether SMB, enterprise, public sector or channel. As a business, we have been working with apprentices for over the past 10 years, giving us the experience to offer a full end-to-end experience. In that 10-year period, we've seen 215 apprentices successfully graduate from ANS Group, and in the last 5 years, we have become an Independent Training Provider. We know how to recruit the right team of apprentices and have years of experience supporting them both on and off the job. We know how important it is to have the right program designed for your employee's apprenticeship, which is why we provide wrap-around support for both the apprentice and employer, facilitating a fully collaborative approach to apprenticeship training

https://www.ans.co.uk/", 22.08.2023, 39729,"ce,Receipts,Accounting documents,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of employees\clients,Personal documentation,Correspondence,Data about employees\partners,Internal documents,  https://gofile.io/d/YbrgTz"
44,Keystone Insurance Services,"An independent insurance agency in Orem, Utah & an authorized Bear River Mutual® Insurance agency. Let us customize rates & policies based on your needs. We opened a 2nd office in Payson UT! Keystone Insurance Services is a locally-owned and operated insurance agency serving businesses and residents in Utah. Based out of Provo, their agents are able to provide their clients with comprehensive insurance policies for a variety of concerns, such as home, life, auto, renters, earthquake, dental, and more. They carry Bear River Mutual®, Travelers®, Progressive®, Safeco®, and more

https://keystoneinsurance.com/", 22.08.2023, 39760,"ce,Receipts,Accounting documents,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of employees\clients,Personal documentation,Correspondence,Data about employees\partners,Internal documents,,https://gofile.io/d/bEijm1"
45,MBS Equipment TTI,"The MBS Equipment Company, a division of The MBS Group, is one of the world’s largest sources for lighting, grip and expendables. And the size of our inventory is only half the story. With proprietary technology, our equipment is also the industry’s most technologically advanced. Best yet, working with us means you’ll have a truly collaborative partner on your team. Innovative, solutions-driven, and invested in your success, we’ll help you navigate the complexity of your production. Together, we’ll work to bring your vision to life.

https://the-mbsgroup.com/services/", 11.08.2023, 41766,"Invoice,Receipts,Accounting documents,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of employees\clients,Personal documentation,Correspondence,Patient data,Internal documents,,https://anonfiles.com/a207fb60z0/MBSfin_part01_rar,https://anonfiles.com/d80df969z9/MBSfin_part05_rar,https://anonfiles.com/ea0cfa6aze/MBSfin_part02_rar,https://anonfiles.com/h30cfc6cz0/MBSfin_part03_rar,https://anonfiles.com/m50bfa6fzd/MBSfin_part04_rar,https://anonfiles.com/o01ef963zb/MBSfin_part10_rar,https://anonfiles.com/s420f465zd/MBSfin_part08_rar,https://anonfiles.com/wa2dfa65ze/MBSfin_part06_rar,https://anonfiles.com/x125fc66zc/MBSfin_part09_rar,https://anonfiles.com/332af369ze/MBSfin_part07_rar,https://anonfiles.com/Kc33f765z6/MBSusr_part1_rar,https://anonfiles.com/ud43f36azb/MBSusr_part6_rar,https://anonfiles.com/2544f46cz5/MBSusr_part2_rar,https://anonfiles.com/A24bf069z8/MBSusr_part4_rar,https://anonfiles.com/Ed4ff167z8/MBSusr_part3_rar,https://anonfiles.com/Pe48f467zb/MBSusr_part5_rar"
46,SatCom Marketing,"SatCom Marketing, LLC SatCom Marketing built its reputation as a leading teleservices provider to the cable/broadband industry. SatCom specializes in outbound sales, inbound sales, customer service calls, survey work and lead generation for business and consumer markets. We have deep experience in marketing and selling voice, video and data products. In addition, we have a wealth of experience in upselling ancillary products like internet speed upgrades, DVR service, digital tiers and premium channels. Our mission is to deliver quality sales and meaningful customer interactions for our clients to help them meet their business goals and ROI objectives. SatCom is a sales organization, focused on delivering quality sales and the highest close rates in the industry.

We believe in a consultative sales approach which means tailoring our presentations to the needs of the customer. SatCom was founded with the idea that quality is the cornerstone of our business.

http://www.satcommarketing.com/", 13.08.2023, 44661,"nvoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of employees\clients,Other,,https://files.dp.ua/ua/cYz3kK5h,https://files.dp.ua/ru/A9wYGcX"
47,Oregon Sports Medicine,"The goal of the skilled orthopedic team at Sports Medicine Oregon in Tigard and Wilsonville, Oregon, is to restore your active lifestyle. Serving all ages and levels of athletes, from the weekend warrior to the professional player, individuals receive the highest quality orthopedic care available.

The practice has served the Northwest communities for more than 24 years, and Sports Medicine Oregon has been the go-to medical team for the Timbers even before they were a Major League Soccer team. The doctors take pride in providing comprehensive care at the offices, which feature on-site X-rays, outpatient physical therapy, and an adjoining surgery center.

The practice specializes in sports injuries, including Achilles tendon injuries along with hip, knee, elbow, shoulder, foot, and hand injuries. Trust the practice with your ACL reconstruction, rotator cuff repair, or treatment for arthritis, hammertoe and foot fractures.

Even if your injury isn’t directly related to sports, the team can help.

The thorough, compassionate care provided by the specially-trained physicians is second to none. Make an appointment for a consultation today by calling and speaking with a friendly staff member or use the online tool to schedule.

https://www.sportsmedicineoregon.com", 13.08.2023, 44580,"nvoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of patients,Another,,https://files.dp.ua/ru/UEHS"
48,Delaney Browne Recruitment,"Delaney Browne Appointments is a recruitment agency serving companies and candidates in Buckinghamshire and Berkshire. We are based in Reading. Since 1999 our dedicated team of fully qualified consultants and support staff have been specialising in temporary and permanent placements within the office sector, from director level to junior support and across a broad spectrum of industry sectors

https://www.delaneybrowne.co.uk/", 13.08.2023, 44550,"nvoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of employees\clients,Another,,https://files.dp.ua/ru/eK5492"
49,"Rossman Realty Group, inc.","See all the Southwest FL Homes and Condos for Sale or Rent - up to 72 hours before they appear on Zillow! We also offer property management services! Rossman Realty Group, Inc has a large inventory of Fannie Mae listings and the expertise to help you acquire one! Whether you are searching for your first home, your dream or vacation home, REO or foreclosure, investment property, commercial property, full time annual or seasonal vacation rentals, Gulf Access homes or vacant lots, you have found the right place!

https://www.rossmanrentals.com/
https://www.rossmanhomes.com/", 10.08.2023, 46339,"nvoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of employees\clients,Other,,https://anonfiles.com/D0YfKa62zf/rossmanrealty_part05_rar,https://anonfiles.com/05maLe6az8/rossmanrealty_part04_rar,https://anonfiles.com/6bmcL366za/rossmanrealty_part02_rar,https://anonfiles.com/Bbm4L26bz7/rossmanrealty_part03_rar,https://anonfiles.com/I0mfL36cz7/rossmanrealty_part01_rar"
50,"RevZero, Inc","We focus on medical device contract manufacturing, 5-axis milling & medical device machining as per the client’s needs and requirements. Visit our website now! RevZero, Inc. is an Agile Medical Device Manufucatring company. Capabilities include Swiss screw, wire EDM, EDM hole drilling, CNCl milling and turning, and cleaning and citric passivation for rapid prototyping and volume manufacturing requirements

https://www.revzeroinc.com/", 10.08.2023, 46240,"nvoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of employees\clients,Other"
51,Jacklett Construction LLC,"The team at Jacklett Construction has experience in both residential and commercial site development.  Your project is never just another job.  We strive to produce a quality product while developing long term relationships with our clients.  Jacklett Construction relies on decades of experience and utilizes the latest technology to deliver a product that exceeds expectations.

https://jacklett.com/", 08.08.2023, 47591," sale agreements,Personal data,Receipts,Invoices,Driving license,Personal files of employees,Project diagrams,Correspondence,Confidential documents,Accounting documents,Another,,https://anonfiles.com/jfn2416eza/JACKLETT_rar"
52,Danbury Public Schools,"Danbury Public Schools is a school district headquartered in Danbury, Connecticut. In 2006 Eddie Davis retired from being superintendent. Salvatore Pascarella succeeded Davis that year.

https://www.danbury.k12.ct.us/", 12.08.2023, 47739," employees were uploaded to the servers:,Accounting,Correspondence,Personal data of students and pupils,Phone numbers and other,,https://anonfiles.com/L1t3o01fze/denbury_schoo_oll_7z_002,https://anonfiles.com/wa35o018z3/denbury_schoo_oll_7z_001"
53,BoomData |Data and Analytics Consultancy,"BOOMDATA - Microsoft Data & Analytics Specialists The data journey isn't always easy so having the right people to help navigate this journey is important in delivering success.
BOOMDATA are a purely Microsoft focussed, data and analytics end-to-end consulting firm and certified Microsoft Data & AI Azure Solutions Partner based in Australia. Combining thinking and delivery, we support mid to large sized businesses with senior teams across the region offering advisory, scoping, design, delivery and training services in the areas of data management, data governance, business intelligence, reporting and analytics.
We're here to help by being easy to work with, knowing our stuff, taking the time to get to know your business, and by being responsive and flexible to work in the way that best suits you.", 01.08.2023, 51748,"time, but the company decided to stop communicating,On our servers were downloaded:27.05.2023,Personal information of the company's clients,Personal correspondence,Financial statements,Documents containing confidential information,www.boomdata.com.au,,https://anonfiles.com/D1z3ma5dzc/OneDrive_part2_rar,https://anonfiles.com/26dew759zf/OneDrive_part1_rar"
54,CROWD,"Talent Agency for Advertisement, Fashion, Cinema, TV and Events.
Casting Studio.", 01.08.2023, 51412,": (24.06.2023),Personal information of the company's clients,Personal correspondence,Financial statements,Documents containing confidential information,www.crowd.pt,,https://anonfiles.com/I01cmf58zb/archivedwl_723_zip"
55,DV8 Technology Group,"DV8 Technology Group (DV8) is fledging information and communications technology (ICT) giant that is small enough to be flexible and nimble but operates at a scale that allows it to offer cost-effective cutting-edge solutions. DV8 Technology Group (DV8) is fledging information and communications technology (ICT) giant that is small enough to be flexible and nimble but operates at a scale that allows it to offer cost-effective cutting-edge solutions. The optimal scale of our business enables us to undercut the competition, which mainly comprises multinational ICT behemoths, while offering the same quality – and often superior – products and services", 01.08.2023, 51317,"ime, but the company decided to stop communicating,On our servers were downloaded: (30.04.2023),Personal information of the company's clients,Personal correspondence,Financial statements,Documents containing confidential information,www.dv8techgroup.com,,https://anonfiles.com/X2x2m25cz1/archivedwl_2_zip"
56,"FANSIPAN CONSTRUCTION CONSULTANTS CO.,LTD","Fansipan Construction Consultants Company Limited with the legal representative -Director Mr., Huynh Thanh Sang was granted Business Registration Certificate No. 0312364637 dated July 10, 2013 issued by Department of Planning and Investment of Ho Chi Minh City. Fansipan Construction Consultants Company Limited is a civil and construction company that provides the best quality products, the best quality services on time at a reasonable price as well as help both contractor and clients own a lot of successful project", 01.08.2023, 51344,"ime, but the company decided to stop communicating,On our servers were downloaded: (14.05.2023),Personal information of the company's clients,Personal correspondence,Financial statements,Documents containing confidential information,www.fansipan.com.vn,,https://anonfiles.com/m79dme5cz6/File_part2_rar,https://anonfiles.com/4bS8ma5bze/File_part1_rar"
57,Kersey CO,"TOWN OF KERSEY, COLORADO", 01.08.2023, 51467,"ime, but the company decided to stop communicating,Downloaded to our servers: (07.04.2023),Personal data of employees and residents,Personal correspondence,Financial reports,Documents containing confidential information,www.kerseygov.com,,https://anonfiles.com/0117m952z8/archivedwl_721_zip"
58,Institut Mensalus S.L.,"We are a multidisciplinary team with more than 30 professionals from Psychology, Psychiatry, Neuropsychology, Educational Psychology and Speech Therapy. More than 30 years of experience guarantee our services. Our services are divided into 4 main areas: ASSISTANCE AND TREATMENT: We offer a wide variety of treatments designed individually for each person, as well as advice or one-off consultations. The psychiatry and psychology teams of the Center work in a coordinated way in order to make a joint diagnostic assessment.", 01.08.2023, 51250,"ime, but the company decided to stop communicating,On our servers were downloaded: (19.03.2023),Personal information of the company's clients,Personal correspondence,Financial statements,Documents containing confidential information,www.mensalus.es,,https://anonfiles.com/jdZ8ma58z6/SERVIDOR1_Z_files_zip,https://anonfiles.com/5a1cmd5az8/archivedwl_25_zip"
59,Miranda Brokerage,"We are a dedicated US Customs Broker that provides our clients with an effective and personalized customer service because we clearly understand that service is the product that we offer which is based on compliance, technology and personalized service.", 01.08.2023, 51113,"ime, but the company decided to stop communicating,On our servers were downloaded: (16.01.2023),Personal information of the company's clients,Personal correspondence,Financial statements,Documents containing confidential information,www.mirandacustomsbrokerage.com,,https://anonfiles.com/e1Lcmc55za/archivedwl_708_zip"
60,Spectra Industrial,"Spectra Industrial commenced operations in 2010 specialising in importation and distribution of forklifts, generator sets, PPE, solar products and heavy equipment,including trucks and earthmoving machinery. The company grew quickly and expanded from its Port Moresby base opening Lae branch in 2011.

The range and brands supported have increased rapidly with Spectra now having taken a position as a leading supplier for its key categories in the PNG marketplace.

Hang Cha forklifts are now the leading brand and commonplace through out the country. Guardian Gensets are recognised as being a quality Cummins powered diesel generator and represent quality and value. Windsor, Winchester and Riggers brands are synonymous with quality and durability in the safety footwear and clothing categories and as always represent real value without compromising on quality.

Spectra strives to be top of mind when customers seek value. Value in the sticker price but also in the after sales service as provided by our dedicated Spectra teams situated in both Lae or POM.

Spectra Hire division was introduced in 2012 and is now a leader in both short and long term hire for an extensive range of equipment. We encourage our clients to invest their capex Kina in profit generating pursuits and leave the mundane and time consuming aspects of fleet maintenance management to us.

COMPETITIVE RESPONSIVE COMMITTED is the mantra engrained into every Spectra employee from their induction. Each understands that our growth will come through delivering value.", 01.08.2023, 51293,"ime, but the company decided to stop communicating,On our servers were downloaded: (16.04.2023),Personal information of the company's clients,Personal correspondence,Financial statements,Documents containing confidential information,www.spectra.com.pg,,https://anonfiles.com/w8aewd5fz8/archivedwl_403_zip"
61,EJM Engineered Systems,"We are refrigeration contractors and experts in air conditioning and commercial refrigeration uk. our engineers are here to provide a quality service. EJM Engineered Systems Ltd was founded in 1980 with the intent to provide high quality industrial refrigeration installations at realistic prices. We pride ourselves for our levels of professionalism and integrity, and our clients know we are always on hand to offer advice and support when they need it.

Our industrial activities are complemented by our Commercial Refrigeration, Air Conditioning, Ventilation, and Service & Maintenance departments. This allows us to provide comprehensive solutions for all your refrigeration needs. As an independent company, we are able to provide all of our clients with individual and personal care. The needs of our clients are at the forefront of everything we do, and, as we are truly independent, we are not tied into any Manufacturer, and can therefore always choose the equipment to your specific project specification and budget. We carry out work throughout the UK, and our repeat clients are proof of our dedication and commitment to each and every project we carry out.

We believe all projects are best completed with co-operation and teamwork between all involved, and this philosophy has resulted in satisfied clients coming back to use our services time and time again. In an ever-changing and demanding world, we are completing projects repeatedly on time and budget

https://ejmrefrigeration.co.uk/", 31.07.2023, 52553,"ersonal information of the company's clients,Personal correspondence,Financial statements,Documents containing confidential information,,https://anonfiles.com/Q0e8hf44z3/EJM_part03_rar,https://anonfiles.com/T6ech342zf/EJM_part02_rar,https://anonfiles.com/U6ech74ez0/EJM_part01_rar,https://anonfiles.com/W9edh74fz0/EJM_part05_rar,https://anonfiles.com/adf6h54azf/EJM_part04_rar,https://anonfiles.com/J6fbhf4cz9/EJM_part06_rar,https://anonfiles.com/I6g2hc4cz9/EJMdwg_part01_rar,https://anonfiles.com/P7gdh248z5/EJMdwg_part02_rar,https://anonfiles.com/Zbgehd41z5/EJMdwg_part03_rar,https://anonfiles.com/a6h6h84fz6/EJMdwg_part04_rar,https://anonfiles.com/5fh5h64dz5/EJMdwg_part05_rar,https://anonfiles.com/P3ibh04cze/EJMdwg_part07_rar,https://anonfiles.com/e3jfhc42zf/EJMdwg_part06_rar,https://anonfiles.com/Dejfh448z9/EJMpdf_part2_rar,https://anonfiles.com/Ffj6hd44ze/EJMpdf_part1_rar,https://anonfiles.com/Gfj7h24fzb/EJMpdf_part3_rar,https://anonfiles.com/I4j2hf4dz1/EJMpdf_part5_rar,https://anonfiles.com/g4keh945zf/EJMpdf_part4_rar"
62,"Exbon Development, Inc","Exbon Development, Inc. has been recognized as one of the nation's top builders and developers that provide full construction services to Federal, State and Municipal government entities as well as commercial clients since its foundation in 2004. We have earned our way to the top of the industry by keeping promises to our clients and staying absolutely true to the principles that our founder established from the beginning. With an approach that emphasizes teamwork and pursuit of excellence in every project,
Exbon Development, Inc. provides premier construction services across a diverse spectrum of trades and specialties including planning, program management, preconstruction, general contracting, construction management (CM), design-build and turn-key development. Exbon takes great pride in having successfully catered to the region's most distinguished and demanding clientele and knowing that such accomplishments set us apart from the rest.
We are very fortunate to have backlogs of projects on hand and more are planned for the coming years. Every qualified candidate is encouraged to apply and have an opportunity to grow with us", 30.07.2023, 52600,"loaded to our servers:,Receipts,Designs,Internal documents,Personal documents,Accounting documents,SSN,Driver's license,Various certificates,Forms with personal information,A huge number of personal files,Passports,A huge number of correspondences,Much more,,https://www.exbon.com/,,https://anonfiles.com/46f6w75az5/exbon_part05_rar,https://anonfiles.com/Idf1w153za/exbon_part04_rar,https://anonfiles.com/J3f0wa56zd/exbon_part01_rar,https://anonfiles.com/Oefdw45az5/exbon_part03_rar,https://anonfiles.com/O7k1wf51z5/exbon_part02_rar,https://anonfiles.com/p7D1wd55z3/exbon_part06_rar,https://anonfiles.com/38D1w551z9/exbon_part08_rar,https://anonfiles.com/4dD1w15bz0/exbon_part09_rar,https://anonfiles.com/DdD9wd55za/exbon_part07_rar,https://anonfiles.com/l8G6wd52ze/exbon_part10_rar,https://anonfiles.com/DbVaw550z3/exbon_part11_rar,https://anonfiles.com/k2W2w35ezf/exbon_part12_rar,https://anonfiles.com/C7X5wb51zd/exbon_part13_rar,https://anonfiles.com/cbY4w65az1/exbon_part14_rar,https://anonfiles.com/F2b1x255z6/exbon_part15_rar,https://anonfiles.com/F5lfx65dzd/exbon_part16_rar,https://anonfiles.com/I6l4xc5az1/exbon_part17_rar,https://anonfiles.com/r9mdx550z7/exbon_part18_rar,https://anonfiles.com/Dan0xb5cz9/exbon_part19_rar,https://anonfiles.com/t7q0x25dz0/exbon_part20_rar,https://anonfiles.com/R856xd58zb/exbon_part25_rar,https://anonfiles.com/F9Gaxa5cz0/exbon_part22_rar,https://anonfiles.com/PfK8x159z2/exbon_part24_rar"
63,Chan and Associates,"The CPAs at Chan & Associates have provided clients with reliable accounting services in Victoria since 1991, including payroll. Chan & Associates is committed to providing its expertise to help ensure to meet accounting needs


http://chanandassociates.ca/", 29.07.2023, 53625,"eceipts,Correspondence,Bank documents,Personal documents,Internal documents,Accounting documents,Invoice,Certificates,Driver's license,Credit\Debit cards,and much more,,https://anonfiles.com/YaG4Jf3dza/CANDA_part05_rar,https://anonfiles.com/afHaJe31zd/CANDA_part04_rar,https://anonfiles.com/c0H4Jb3azd/CANDA_part03_rar,https://anonfiles.com/r5H7J03aza/CANDA_part02_rar,https://anonfiles.com/y6H8J036za/CANDA_part01_rar,https://anonfiles.com/72I5Jf37za/CANDA_part06_rar,https://anonfiles.com/X1I4Ja31zd/CANDA_part08_rar,https://anonfiles.com/a1J3J738z5/CANDA_part07_rar,https://anonfiles.com/p8JeJ739z7/CANDA_part09_rar,https://anonfiles.com/ybJdJ93dz6/CANDA_part10_rar,https://anonfiles.com/J3K8J931z5/CANDA_part11_rar,https://anonfiles.com/N8KaJ83ez3/CANDA_part12_rar,https://anonfiles.com/03LdJ937z4/CANDA_part13_rar,https://anonfiles.com/IdL8J234z9/CANDA_part14_rar,https://anonfiles.com/M9LaJ730z7/CANDA_part15_rar,https://anonfiles.com/6bNbJ435z6/CANDA_part16_rar,https://anonfiles.com/76N7J433z9/CANDA_part17_rar,https://anonfiles.com/C8N5Jb33z4/CANDA_part18_rar,https://anonfiles.com/Y7N7J43dze/CANDA_part19_rar,https://anonfiles.com/bdO9Ja3bzb/CANDA_part20_rar,https://anonfiles.com/rfO5Jb3az5/CANDA_part22_rar,https://anonfiles.com/P0O5J236zf/CANDA_part21_rar"
64,"CashCall, Inc."," CashCall - Personal Loans Founded in 2003 and headquartered in Orange, California, CashCall Inc. is among the nation's premier lenders. The company employs leading experts with an unparalleled drive and dedication to exceptional customer service.

CashCall is driven to remain at the forefront of innovative technology that streamlines loan operations. This combined with their dynamic team of experts makes the loan process for customers simple, fast, and hassle-free. Cashcall personal loans division offers unsecured loans to qualified borrowers who typically use the loans for one-time purchases and debt consolidation. These loans are processed entirely over the internet, phone, and fax. Funds are wired into the borrower's checking account in as little as 4 hours.", 22.07.2023, 56561,"ss was also gained to other companies that were successfully attacked:,,CashCall, Inc.                      https://www.cashcall.com/landing,,Servicing Solutions           https://www.servicingsolutions.com/,,Ocean Breeze Ranch       http://www.oceanbreezeranch.com/,,The Loan Exchange          https://www.theloanexchange.com/,,SettleIt, Inc.                          https://settleit.com/,,Lenders Choice Escrow    https://lenderschoiceescrow.com/,,Hundreds of gigabytes of Americans' files will become publicly available:,Insurance certificate,Telephony databases,Various agreements,Agreements,Personal documents,Internal documents,Receipts,Invoices,A large number of SSN,Passport,Driving license,Various testimonies,Mail,Confidentiality and Non-disclosure agreement,Forms W-9,More Other,,We downloaded about 20 databases that contain over 12 million lines about American citizens, each line is unique and contains:,SSN,Date of birth,Phone numbers (personal\work),Residential and work addresses,Marital status,Email,Credit rating,Loan amount,Account balances"
65,Venture Drilling Supply,"Venture drilling supply is the largest water well, mining, and geothermal distributor and service provider in the nation. Our commitment is to keep you drilling. Venture Drilling Supply provides professional sales, distribution, and service throughout Texas, Oklahoma, Arkansas, Missouri and Kansas for the drilling industry's' top manufacturers.", 18.07.2023, 56443,".2023,,https://www.venturedrillingsupply.com/,,Personal information of the firm's clients,Personal correspondence,Financial reports,Documents containing confidential information"
66,Info Salons,"Many people will ask why we are called Info Salons? Does it have anything to do with haircuts? This is related to our CEO Ms. Jo-Anne Kelleway's work experience in a French exhibition registration management company. The word ""salons"" refers to exhibitions in French. So Info Salons literally means information technology applied to exhibitions.

Info Salons was established in Australia in 1990. At that time, Australia's convention and exhibition industry began to boom with the opening of the new Sydney Convention and Exhibition Center on the edge of Darling Harbour. Australia needs a professional data collection company to professionalize the convention and exhibition industry. Info Salons provided registration solutions for 10 shows in its first year.", 20.07.2023, 58706,".2023,,http://cn.infosalonsgroup.com/about-us/,,The information was downloaded in the amount of 2 TB,,Personal data of customers and employees,Contacts of partner companies,Confidential information about contracts and transactions"
