0,Ransomware_Group,Company_Name,Company_Description,Date_of_leak,Number_of_Views,Company_URL,Industry_Type,Company_Address,Company_Country,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
43,8BASE,Aspect Structural Engineers,"Creativity I Excellence I Pragmatism. We are problem solvers and purveyors of thoughtful design for structures big and small. Aspect provides state-of-the-art structural engineering service with the personalized attention that comes from being a small, young firm. We aim to innovate, while always staying mindful of project schedules and budgets. Prefabrication & modular construction are important tools in helping to achieve these objectives. We are experienced with the constraints involved, and know first hand of the design intricacies, and advantages, these types of systems can represent. We also believe that when appropriate, structure = architecture. A holistic approach to building design can gain efficiencies on all fronts, creating structure that doubles as ductwork, structure that conceals sprinkler pipes and structure that is meant to be seen

https://aspectengineers.com/",22-08-23,40112,http://aspectengineers.com,Civil Engineering,"Vancouver, BC",Canada,1,1,0,1,1,1,0,0,0,0,0,0,0,,,,
44,8BASE,ANS,"At ANS, we believe that all organisations have the right to access the best technology, whether SMB, enterprise, public sector or channel. As a business, we have been working with apprentices for over the past 10 years, giving us the experience to offer a full end-to-end experience. In that 10-year period, we've seen 215 apprentices successfully graduate from ANS Group, and in the last 5 years, we have become an Independent Training Provider. We know how to recruit the right team of apprentices and have years of experience supporting them both on and off the job. We know how important it is to have the right program designed for your employee's apprenticeship, which is why we provide wrap-around support for both the apprentice and employer, facilitating a fully collaborative approach to apprenticeship training

https://www.ans.co.uk/",22-08-23,39729,https://www.ans.co.uk/?utm_source=linkedin&utm_medium=social&utm_campaign=brand-awareness-bau&utm_content=ans-button,IT Services and IT Consulting,Manchester,United Kingdom,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
45,8BASE,Keystone Insurance Services,"An independent insurance agency in Orem, Utah & an authorized Bear River MutualÂ® Insurance agency. Let us customize rates & policies based on your needs. We opened a 2nd office in Payson UT! Keystone Insurance Services is a locally-owned and operated insurance agency serving businesses and residents in Utah. Based out of Provo, their agents are able to provide their clients with comprehensive insurance policies for a variety of concerns, such as home, life, auto, renters, earthquake, dental, and more. They carry Bear River MutualÂ®, TravelersÂ®, ProgressiveÂ®, SafecoÂ®, and more

https://keystoneinsurance.com/",22-08-23,39760,https://keystoneinsurance.com/,Insurance,"Provo, Utah",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
46,8BASE,MBS Equipment TTI,"The MBS Equipment Company, a division of The MBS Group, is one of the worldâ€™s largest sources for lighting, grip and expendables. And the size of our inventory is only half the story. With proprietary technology, our equipment is also the industryâ€™s most technologically advanced. Best yet, working with us means youâ€™ll have a truly collaborative partner on your team. Innovative, solutions-driven, and invested in your success, weâ€™ll help you navigate the complexity of your production. Together, weâ€™ll work to bring your vision to life.

https://the-mbsgroup.com/services/",11-08-23,41766,http://mbsequipmentco.com/,Entertainment Providers,"Los Angeles, CA",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
47,8BASE,SatCom Marketing,"SatCom Marketing, LLC SatCom Marketing built its reputation as a leading teleservices provider to the cable/broadband industry. SatCom specializes in outbound sales, inbound sales, customer service calls, survey work and lead generation for business and consumer markets. We have deep experience in marketing and selling voice, video and data products. In addition, we have a wealth of experience in upselling ancillary products like internet speed upgrades, DVR service, digital tiers and premium channels. Our mission is to deliver quality sales and meaningful customer interactions for our clients to help them meet their business goals and ROI objectives. SatCom is a sales organization, focused on delivering quality sales and the highest close rates in the industry.

We believe in a consultative sales approach which means tailoring our presentations to the needs of the customer. SatCom was founded with the idea that quality is the cornerstone of our business.

http://www.satcommarketing.com/",13-08-23,44661,http://www.SatComMarketing.com,Advertising Services,"Brooklyn Park, MN",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
48,8BASE,Oregon Sports Medicine,"The goal of the skilled orthopedic team at Sports Medicine Oregon in Tigard and Wilsonville, Oregon, is to restore your active lifestyle. Serving all ages and levels of athletes, from the weekend warrior to the professional player, individuals receive the highest quality orthopedic care available.

The practice has served the Northwest communities for more than 24 years, and Sports Medicine Oregon has been the go-to medical team for the Timbers even before they were a Major League Soccer team. The doctors take pride in providing comprehensive care at the offices, which feature on-site X-rays, outpatient physical therapy, and an adjoining surgery center.

The practice specializes in sports injuries, including Achilles tendon injuries along with hip, knee, elbow, shoulder, foot, and hand injuries. Trust the practice with your ACL reconstruction, rotator cuff repair, or treatment for arthritis, hammertoe and foot fractures.

Even if your injury isnâ€™t directly related to sports, the team can help.

The thorough, compassionate care provided by the specially-trained physicians is second to none. Make an appointment for a consultation today by calling and speaking with a friendly staff member or use the online tool to schedule.

https://www.sportsmedicineoregon.com",13-08-23,44580,https://www.sportsmedicineoregon.com/contactus,Medical Practices,"Wilsonville, Oregon",United States,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
49,8BASE,Delaney Browne Recruitment,"Delaney Browne Appointments is a recruitment agency serving companies and candidates in Buckinghamshire and Berkshire. We are based in Reading. Since 1999 our dedicated team of fully qualified consultants and support staff have been specialising in temporary and permanent placements within the office sector, from director level to junior support and across a broad spectrum of industry sectors

https://www.delaneybrowne.co.uk/",13-08-23,44550,https://www.delaneybrowne.co.uk/,Job Recruitment,"Berkshire, Suite 53 London St, Reading RG1 4QD, United Kingdom",United Kingdom,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
50,8BASE,"Rossman Realty Group, inc.","See all the Southwest FL Homes and Condos for Sale or Rent - up to 72 hours before they appear on Zillow! We also offer property management services! Rossman Realty Group, Inc has a large inventory of Fannie Mae listings and the expertise to help you acquire one! Whether you are searching for your first home, your dream or vacation home, REO or foreclosure, investment property, commercial property, full time annual or seasonal vacation rentals, Gulf Access homes or vacant lots, you have found the right place!

https://www.rossmanrentals.com/
https://www.rossmanhomes.com/",10-08-23,46339,http://www.rossmanrealty.com,Real Estate,"Cape Coral, FL",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
51,8BASE,"RevZero, Inc","We focus on medical device contract manufacturing, 5-axis milling & medical device machining as per the clientâ€™s needs and requirements. Visit our website now! RevZero, Inc. is an Agile Medical Device Manufucatring company. Capabilities include Swiss screw, wire EDM, EDM hole drilling, CNCl milling and turning, and cleaning and citric passivation for rapid prototyping and volume manufacturing requirements

https://www.revzeroinc.com/",10-08-23,46240,http://revzeroinc.com,Medical Device,"Chanhassen, MN",United States,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
52,8BASE,Jacklett Construction LLC,"The team at Jacklett Construction has experience in both residential and commercial site development.  Your project is never just another job.  We strive to produce a quality product while developing long term relationships with our clients.  Jacklett Construction relies on decades of experience and utilizes the latest technology to deliver a product that exceeds expectations.

https://jacklett.com/",08-08-23,47591,http://jacklettconstruction.com,Construction,"ALPHARETTA, Georgia",United States,1,1,0,1,1,1,0,0,1,0,0,0,0,,,,
53,8BASE,Danbury Public Schools,"Danbury Public Schools is a school district headquartered in Danbury, Connecticut. In 2006 Eddie Davis retired from being superintendent. Salvatore Pascarella succeeded Davis that year.

https://www.danbury.k12.ct.us/",12-08-23,47739,http://www.billglassphotography.com,Photography,Massachusetts,United States,1,0,0,1,0,1,0,0,1,0,0,0,0,,,,
54,8BASE,BoomData |Data and Analytics Consultancy,"BOOMDATA - Microsoft Data & Analytics Specialists The data journey isn't always easy so having the right people to help navigate this journey is important in delivering success.
BOOMDATA are a purely Microsoft focussed, data and analytics end-to-end consulting firm and certified Microsoft Data & AI Azure Solutions Partner based in Australia. Combining thinking and delivery, we support mid to large sized businesses with senior teams across the region offering advisory, scoping, design, delivery and training services in the areas of data management, data governance, business intelligence, reporting and analytics.
We're here to help by being easy to work with, knowing our stuff, taking the time to get to know your business, and by being responsive and flexible to work in the way that best suits you.",01-08-23,51748,https://www.boomdata.com.au/,IT Services and IT Consulting,"North Sydney, NSW",Australia,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,1
55,8BASE,CROWD,"Talent Agency for Advertisement, Fashion, Cinema, TV and Events.
Casting Studio.",01-08-23,51412,http://www.thisiscrowd.com,Advertising Services,"Poole , Dorset",United Kingdom,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
56,8BASE,DV8 Technology Group,"DV8 Technology Group (DV8) is fledging information and communications technology (ICT) giant that is small enough to be flexible and nimble but operates at a scale that allows it to offer cost-effective cutting-edge solutions. DV8 Technology Group (DV8) is fledging information and communications technology (ICT) giant that is small enough to be flexible and nimble but operates at a scale that allows it to offer cost-effective cutting-edge solutions. The optimal scale of our business enables us to undercut the competition, which mainly comprises multinational ICT behemoths, while offering the same quality â€“ and often superior â€“ products and services",01-08-23,51317,http://www.dv8techgroup.com,Information Technology & Services,"Houghton Estate, Gauteng",South Africa,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
57,8BASE,"FANSIPAN CONSTRUCTION CONSULTANTS CO.,LTD","Fansipan Construction Consultants Company Limited with the legal representative -Director Mr., Huynh Thanh Sang was granted Business Registration Certificate No. 0312364637 dated July 10, 2013 issued by Department of Planning and Investment of Ho Chi Minh City. Fansipan Construction Consultants Company Limited is a civil and construction company that provides the best quality products, the best quality services on time at a reasonable price as well as help both contractor and clients own a lot of successful project",01-08-23,51344,http://fansipan.com.vn/,Design Services,"Ho Chi Minh, Ho Chi Minh City",Viá»‡t Nam,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
58,8BASE,Kersey CO,"TOWN OF KERSEY, COLORADO",01-08-23,51467,http://www.kerseygov.com/,Agricultural Community,"Kersey, Colorado",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
59,8BASE,Institut Mensalus S.L.,"We are a multidisciplinary team with more than 30 professionals from Psychology, Psychiatry, Neuropsychology, Educational Psychology and Speech Therapy. More than 30 years of experience guarantee our services. Our services are divided into 4 main areas: ASSISTANCE AND TREATMENT: We offer a wide variety of treatments designed individually for each person, as well as advice or one-off consultations. The psychiatry and psychology teams of the Center work in a coordinated way in order to make a joint diagnostic assessment.",01-08-23,51250,https://mensalus.es,Wellness and Fitness Services,"Barcelona, Barcelona",EspaÃ±a,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
61,8BASE,Spectra Industrial,"Spectra Industrial commenced operations in 2010 specialising in importation and distribution of forklifts, generator sets, PPE, solar products and heavy equipment,including trucks and earthmoving machinery. The company grew quickly and expanded from its Port Moresby base opening Lae branch in 2011.

The range and brands supported have increased rapidly with Spectra now having taken a position as a leading supplier for its key categories in the PNG marketplace.

Hang Cha forklifts are now the leading brand and commonplace through out the country. Guardian Gensets are recognised as being a quality Cummins powered diesel generator and represent quality and value. Windsor, Winchester and Riggers brands are synonymous with quality and durability in the safety footwear and clothing categories and as always represent real value without compromising on quality.

Spectra strives to be top of mind when customers seek value. Value in the sticker price but also in the after sales service as provided by our dedicated Spectra teams situated in both Lae or POM.

Spectra Hire division was introduced in 2012 and is now a leader in both short and long term hire for an extensive range of equipment. We encourage our clients to invest their capex Kina in profit generating pursuits and leave the mundane and time consuming aspects of fleet maintenance management to us.

COMPETITIVE RESPONSIVE COMMITTED is the mantra engrained into every Spectra employee from their induction. Each understands that our growth will come through delivering value.",01-08-23,51293,http://www.spectra.com.pg/en/,Oil and Gas,Zambia,Zambia,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
62,8BASE,EJM Engineered Systems,"We are refrigeration contractors and experts in air conditioning and commercial refrigeration uk. our engineers are here to provide a quality service. EJM Engineered Systems Ltd was founded in 1980 with the intent to provide high quality industrial refrigeration installations at realistic prices. We pride ourselves for our levels of professionalism and integrity, and our clients know we are always on hand to offer advice and support when they need it.

Our industrial activities are complemented by our Commercial Refrigeration, Air Conditioning, Ventilation, and Service & Maintenance departments. This allows us to provide comprehensive solutions for all your refrigeration needs. As an independent company, we are able to provide all of our clients with individual and personal care. The needs of our clients are at the forefront of everything we do, and, as we are truly independent, we are not tied into any Manufacturer, and can therefore always choose the equipment to your specific project specification and budget. We carry out work throughout the UK, and our repeat clients are proof of our dedication and commitment to each and every project we carry out.

We believe all projects are best completed with co-operation and teamwork between all involved, and this philosophy has resulted in satisfied clients coming back to use our services time and time again. In an ever-changing and demanding world, we are completing projects repeatedly on time and budget

https://ejmrefrigeration.co.uk/",31-07-23,52553,http://www.ejmrefrigeration.co.uk/,Mechanical Or Industrial Engineering,"Shotton Colliery, Durham",United Kingdom,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
63,8BASE,"Exbon Development, Inc","Exbon Development, Inc. has been recognized as one of the nation's top builders and developers that provide full construction services to Federal, State and Municipal government entities as well as commercial clients since its foundation in 2004. We have earned our way to the top of the industry by keeping promises to our clients and staying absolutely true to the principles that our founder established from the beginning. With an approach that emphasizes teamwork and pursuit of excellence in every project,
Exbon Development, Inc. provides premier construction services across a diverse spectrum of trades and specialties including planning, program management, preconstruction, general contracting, construction management (CM), design-build and turn-key development. Exbon takes great pride in having successfully catered to the region's most distinguished and demanding clientele and knowing that such accomplishments set us apart from the rest.
We are very fortunate to have backlogs of projects on hand and more are planned for the coming years. Every qualified candidate is encouraged to apply and have an opportunity to grow with us",30-07-23,52600,http://www.exbon.com,Construction,"Garden Grove, CA",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,1
65,8BASE,"CashCall, Inc."," CashCall - Personal Loans Founded in 2003 and headquartered in Orange, California, CashCall Inc. is among the nation's premier lenders. The company employs leading experts with an unparalleled drive and dedication to exceptional customer service.

CashCall is driven to remain at the forefront of innovative technology that streamlines loan operations. This combined with their dynamic team of experts makes the loan process for customers simple, fast, and hassle-free. Cashcall personal loans division offers unsecured loans to qualified borrowers who typically use the loans for one-time purchases and debt consolidation. These loans are processed entirely over the internet, phone, and fax. Funds are wired into the borrower's checking account in as little as 4 hours.",22-07-23,56561,http://www.cashcall.com,Financial Services,"Orange, CA",United States,1,1,0,1,0,0,0,0,1,0,1,0,0,,,,1
66,8BASE,Venture Drilling Supply,"Venture drilling supply is the largest water well, mining, and geothermal distributor and service provider in the nation. Our commitment is to keep you drilling. Venture Drilling Supply provides professional sales, distribution, and service throughout Texas, Oklahoma, Arkansas, Missouri and Kansas for the drilling industry's' top manufacturers.",18-07-23,56443,http://venturedrillingsupply.com,Mining,"Pflugerville, TX",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
67,8BASE,Info Salons,"Many people will ask why we are called Info Salons? Does it have anything to do with haircuts? This is related to our CEO Ms. Jo-Anne Kelleway's work experience in a French exhibition registration management company. The word ""salons"" refers to exhibitions in French. So Info Salons literally means information technology applied to exhibitions.

Info Salons was established in Australia in 1990. At that time, Australia's convention and exhibition industry began to boom with the opening of the new Sydney Convention and Exhibition Center on the edge of Darling Harbour. Australia needs a professional data collection company to professionalize the convention and exhibition industry. Info Salons provided registration solutions for 10 shows in its first year.",20-07-23,58706,https://www.infosalons.ae,Events Services,Dubai,Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©,1,1,0,1,0,1,0,0,1,0,1,0,0,,,,
68,8BASE,CPA Advisors Group,"Our accounting firm was formed with a single principle in mind: to provide the highest level of personalized client service possible. Simply put, we care about each and every one of our clients.  If you would like to develop a relationship with an accountant that will know your name, get to know ours.

Our full-service accounting firm is well established and is ready to serve you. Since our inception, we have grown continuously by providing a wide-array of professional services. Let us know how we can serve you. Weâ€™re here to help.",21-07-23,58694,http://www.cpaagi.com,Accounting,"Columbus, Ohio",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
69,8BASE,BTU,"BTU is an Argentine company dedicated to the development and execution of engineering, construction, mounting and start-up projects, mainly in the Energy, Oil & Gas and Railway System Infrastructure sectors.
We have provided integral services throughout the country for over 30 years, in public and private sector, delivering constant technical and entrepreneurial development. As a result of our expertise, we are one of Argentinaâ€™s leading engineering and highly complex construction company.",17-07-23,59436,http://www.btu.com/index.htm,"Appliances, Electrical, and Electronics Manufacturing","North Billerica, Massachusetts",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
70,8BASE,ANL Packaging,"ANL Packaging makes your product unique
ANL Packaging specializes in bespoke thermoformed packaging in line with the customersâ€™ needs. In doing so, ANL Packaging supports the individuality of the customersâ€™ products.
ANL Packaging specializes in bespoke thermoformed plastic packaging. Our custom-made packaging solutions can be found in both food and non-food markets, but we also have a standard range.",17-07-23,59636,http://www.anlpackaging.com,Packaging and Containers Manufacturing,"Wellen, BelgiÃ«",BelgiÃ« / Belgique / Belgien,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
71,8BASE,Dental One Craigieburn,"Dental One was created to make Dentistry more affordable and accessible in Australia, starting with our home state of Victoria.
Cost has long been sighted as the number one reason people avoid visiting the dentist. At Dental One we aim to remove this obstacle and usher in a new wave of Affordable Dental Care for all. You can expect the same quality and professional treatment from our Dentists as you would anywhere else. We are focused on providing the best outcome for our patients and ensuring only the best long-term treatment options are followed.
At Dental One we aim to usher in a new wave of Affordable Dental Care for all. We are focused on providing the best outcome for our patients and ensuring only the best long-term treatment options are followed.",17-07-23,59474,http://dental1.com.au,Medical Practices,Craigieburn,Australia,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
72,8BASE,Jadranka Group,"Since its founding, Jadranka has been the largest company on the islands of Cres and LoÅ¡inj. It also employs the largest number of inhabitants of these islands and is the main driver of the development of this area. Jadranka has grown into a recognizable and respected company with a 70-year-old business tradition, which, according to business results, can certainly be ranked among the top companies in the hospitality and tourism industry.
During February 2014, Jadranka d.d. went through the process of ownership change and thus the company Beta ulaganja d.o.o. based in Zagreb became 100% owner of Jadranka's shares. Croatian owners of Beta ulaganja are officially recorded in the Register of Beneficial Owners.",17-07-23,59537,https://jadranka.hr/en,Tourisma and Hospitality,LEVES,France,,1,0,1,0,0,0,0,,0,0,0,0,,,,
73,8BASE,The Traffic Tech,"The Traffic Tech Gull is an award winning ISO certified total solutions provider of integrated systems in traffic management. intelligent transportation, parking management, security, communications and truck weigh stations. Founded in 2000, Traffic Tech Experience in Tratic Engineering, integrating systems to meet customized needs using the most advanced technologies available in the market, Over the past twenty (20) years, Taffic Tech has developed com engineering, system integration, contracting and service capabilities, that helped earn Trafic Tech a leading role in the balds of specialization throughout the Gulf regions. Our scope includes design, system integration equipment supply installation, commissioning, operation, and after-sales service.",17-07-23,59546,http://www.traffictech.com,"Transportation, Logistics, Supply Chain and Storage","Chicago, Illinois",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
74,8BASE,Telepizza,"Telepizza was founded in Madrid in 1987 as a family business with a clear drive for innovation and a constant focus on the quality of its products. Being in this way a pioneer in the delivery of quality food to home. In 1992, the company opened its first factory and began its international expansion.
Telepizza's focus of work is occupied by irresistible and unique pizzas. Prepared with the utmost attention to detail and a rigorous selection of fresh and natural ingredients. His secret is known. Mass. Made with love and by hand.
In addition, through Telepizza's communication platform, Let's spend more time together, we become a global brand with a unique meaning throughout the world.",17-07-23,59698,https://www.fooddeliverybrands.com/,Hospitality,"San SebastiÃ¡n de los Reyes, Madrid",EspaÃ±a,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
75,8BASE,Citelis Mobility,"Our engine is the satisfaction of our clients in each visit to our agencies, we work every day to give the best service at each point of sale, care for your vehicle and we accompany you in every step you take to select your travel companion.",18-07-23,60983,http://www.citelis.com.mx,Commercial Real Estate,"Morelia, MichoacÃ¡n",MÃ©xico,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
76,8BASE,Advanced Fiberglass Industries,"Advanced Fiberglass Industries is a UAE-based manufacturer of advanced composite offering an unrivaled quality of finished composite products and turnkey solutions provided based on the development of the latest technology advancements used in composite construction. Advanced Fiberglass Industries being one of the first entities globally to procure adaptive molding in the year 2018.
Headquartered in Dubai, our Al Quoz 2 Industrial Area facility encompasses at 6500mÂ² with highly experience technical staff and operators. We have a Climate controlled and Safety Compliant Cleanroom, Paint Booth, Post Curing oven, and Sandblasting facilities onsite. Moreover, in molding and CNC milling, we have an in-house 7axis KUKA milling robot machine and adaptive molding technology.",15-07-23,61863,http://advancedfiberglass.net,Plastics Manufacturing,Umm Al Quawain,United Arab Emirates,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
77,8BASE,Weitkamp Â· Hirsch and Kollegen Steuerberatungsgesellschaft mbH,"Tax advice
Competence and thoroughness are very important in our law firm. We train ourselves and our employees regularly so that we can always provide you with comprehensive support and advice in the following areas, for example.
For optimal preparation, we need the following form to be filled out by you. Welcome!",15-07-23,60708,https://whk-schleswig.de/,Tax Consulting,"Schleswig, Schleswig-Holstein, Germany",Germany,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,1
78,8BASE,Pesquera Diamante S.A.,"We strive to meet the nutritional needs of the Peruvian and global market by supplying proteins and marine products with the assurance of a process that meets the highest quality standards in the processing of fishmeal and fish oil, canned food, fresh and frozen products. products.
Demand, efficiency and innovation are the three main characteristics that represent our essence and have been our flag since 1986, setting a successful and flawless trajectory in the fishing sector.
We are always striving to achieve new goals, focus on new challenges and reinvent ourselves with every action for the benefit of our customers, employees, shareholders, the environment and society as a whole.",15-07-23,60689,http://www.diamante.com.pe,Food and Beverage Manufacturing,"Lima, Lima",PerÃº,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,1
79,8BASE,Cabra Consulting Ltd,"Cabra Enterprises Ltd was founded in 1980 with Cabra Consulting Ltd. as a division of same.  In 2010 Cabra Consulting Ltd was spun up as a stand-alone entity from Cabra Enterprises.
Cabraâ€™s corporate goals have never changed with a commitment to supply quality professional geological services to the petroleum industry.
Cabra has a solid team of geologists with diverse backgrounds and is able to supply services in all aspects of wellsite geology whether they are field, operational or geosteering services.",15-07-23,62553,http://www.cabra.ca,Oil and Gas,"Calgary, Alberta",Canada,0,1,0,1,0,0,1,1,0,0,0,0,0,,,,
80,8BASE,ROBERT L BAYLESS PRODUCER LLC,"Robert L. Bayless, Producer LLC is a privately owned oil and natural gas company engaged in exploration and production
activities in the southern and central Rocky Mountain Region with offices in Denver, Colorado and Farmington, New Mexico",14-07-23,63426,http://www.rlbayless.com,Oil and Gas,"Denver, Colorado",United States,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
81,8BASE,KIRWIN FRYDAY MEDCALF Lawyers LLP,"The company provide a full range of services in real estate law including residential and commercial sales, purchases and mortgages.
The firm also provides comprehensive services in the corporate commercial area including incorporation of businesses,
both large and small, acquisition and sales of small businesses and generally assisting our clientele to grow and prosper",13-07-23,65309,http://lawhouse.ca,Legal Services,"London, Ontario",Canada,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,
82,8BASE,"Jeff Wyler Automotive Family, Inc.","When you're looking for a new car or need to have your car serviced, come visit Jeff Wyler, one of the top rated car dealers in Ohio, Kentucky, and Indiana.  Whether you are looking to buy a new or used vehicle in Cincinnati, Dayton, Columbus or Louisville, need to have service completed on your vehicle, need auto parts and accessories, or body work that needs attention... You can trust your decision when you choose any one of our Jeff Wyler Dealerships. Our dealership reviews and testimonials attest to our long standing reputation, and we invite you to join the Jeff Wyler Family dealerships.

https://wyler.com/",11-07-23,74142,http://wyler.com,Automotive,"Batavia, OH",United States,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,
83,8BASE,Polanglo,"Polanglo SP. z O.o. is a network of bookstores and wholesalers operating since 1991 with an educational and language profile. Thanks to the dynamic development, we have been appreciated by the largest university publishing house in the world â€“ Oxford University Press. The Oxford University Press authorities have granted us the exclusive right to import our English Language Teaching materials into Poland, and we make every effort to make Oxford University Press language publications available throughout Poland.

https://www.polanglo.pl/",10-07-23,66103,http://polanglo.pl,International Trade and Development,"Warszawa, WojewÃ³dztwo mazowieckie",Polska,0,1,0,0,0,0,1,0,0,0,1,0,0,,,,
84,8BASE,CON-STRUCT,"Con-struct, Inc. proudly serves all heavy construction needs in Central Iowa, including Ames, Story County, Marshall County, and surrounding areas.

https://constructiowa.com",03-07-23,68847,https://www.conxstruct.com/,Apparel & Fashion,"New York, NY",United States,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,
85,8BASE,PORTERROOFING,"""Porter Roofing has blueprinted an innovative culture throughout our company, placing special emphasis on the welfare and safety of everyone involved with any roofing project we undertake. We have provided OSHAâ€™s 40-hour safety program and CPR training for all of our key employees so that every crew is staffed with at least one safety team leader. Although our safety program exceeds roofing industry standards, we continually seek ways to implement new ideas and procedures.

As our reputation continues to grow on a national scale, we realize that it is based on our past roofing projects. Therefore, we raise the bar for exceptional performance, job by job, year by year. We pledge our full support toward the successful completion of our clientsâ€™ roofing projects, and we will perform our services in your best interest with a great effort to maintain your trust and good will.""

http://www.porter-roofing.com/",03-07-23,69016,http://www.porter-roofing.com,Construction,"McMinnville, TN",United States,1,0,0,1,0,1,0,0,0,0,1,0,0,,,,
86,8BASE,ISPE Connecting Pharmaceutical Knowledge,"ISPE, the International Society for Pharmaceutical Engineering, is the world's largest not-for-profit association serving its Members through leading scientific, technical and regulatory advancement throughout the entire pharmaceutical lifecycle. The 20,000 Members of ISPE are building solutions in the development and manufacture of safe and effective pharmaceutical and biologic medicines and medical delivery devices in more than 90 countries around the world. Founded in 1980, ISPE has its worldwide headquarters in Bethesda, Maryland, USA and the Operations and Training Center in Tampa, Florida, USA

https://ispe.org/",03-07-23,69015,http://www.ISPE.org,Pharmaceutical Manufacturing,"North Bethesda, Maryland",United States,1,1,0,1,0,0,0,0,0,0,1,0,0,,,,
87,8BASE,PNEUMAX,"PNEUMAX France has been located since 1993 on an area of 4000 m2 in the northern industrial zone of SELESTAT. It covers the territory of France, as well as French-speaking countries.
The recent acquisition of numerically controlled machines has increased production capacity due to guaranteed service and quality.
Design bureaus, machine builders for industry, assembly lines, robotics and manufacturing are industries interested in their products and services.

The wide range of PNEUMAX products makes it one of the market leaders.

https://pneumaxspa.com/pneumax-fr/",03-07-23,68756,http://www.pneumaxspa.com,Automation Machinery Manufacturing,"Lurano, (BG)",Italia,1,0,0,1,0,0,0,0,1,0,0,0,0,,,,
88,8BASE,LEGALILAVORO,"Legalilavoro was born out of a federation of ten law firms already known for the history and specific experience of their founders and groups of young professionals coordinated by them: in total, about 70 lawyers working in the field of labor law, assembled today on the basis of elements of divisions that define its strong identity.

Their mission is to offer employees of any locality the opportunity to find legal services and consultations of the highest quality.

https://www.legalilavoro.it/",03-07-23,68931,http://www.legalilavoro.it/,Legal Services,"Milan, Lombardy",Italia,1,0,0,1,0,1,0,0,0,0,0,0,0,,,,
89,8BASE,Lysander Shipping,"Regularly exceptional for over 25 years

Lysander Shipping area is a well-established project forwarder, at the heart of everything we do is customer service, reliability and honesty. Your cargo for us is not just another booking, it is a matter of pride. We treat each shipment with the utmost care and attention that we know our customers require.

https://www.lysandershipping.com/",03-07-23,70166,http://www.lysandershipping.com,Truck Transportation,New Malden,United Kingdom,0,1,0,1,0,0,0,0,0,0,1,0,0,,,,
90,8BASE,CLEAR MEDI HEALTHCARE,"ClearMedi Healthcare is a joint venture initiative of KOS S.P.A. Italy and Clear view Healthcare India.

Manage comprehensive clinical services

ClearMedi Healthcare is a fast-growing medical services organization providing excellent medical treatments across India. With more than 4 independent super-specialized hospitals in Delhi, North Carolina, and the Mysore region of India, and 15 partner hospitals specializing in oncology and tertiary care, ClearMedi Healthcare aims to become a leading healthcare organization and also serve underserved segments of society.

https://clearmedi.in/",03-07-23,68836,http://clearmedi.com/,Hospitals and Health Care,"Gurgaon, Haryana",India,1,1,0,1,0,1,0,0,0,0,1,0,0,,,,
